External ID,Category,Item Name,Description,Variation Types,Variations,Barcode,Track Inventory,Prompt For Price,Unit Cost,Price,Sold by Weight/ Measure,Tax Category,Available for Sale  on POS,Available for Sale Online,Online Item Name,Package Cost,Units/Package,Primary Vendor,Units On Hand,Modified By 1,Modifier Group 1 External ID,Modified By 2,Modifier Group 2 External ID,Modified By 3,Modifier Group 3 External ID,Modified By 4,Modifier Group 4 External ID,Modified By 5,Modifier Group 5 External ID
2330428,Bakery,Kettlecorn 2 bags,,,,,Y,N,,12,N,No tax,Y,,,,1,,,,,,,,,,,,
2330745,Bakery,Keyed Bakery,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2330578,Bakery,Keyed Decor*,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2330577,Bakery,Keyed Take Home Food*,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2330576,Bakery,Krispy Treats*,,,,,Y,N,,6.99,N,8%,Y,,,,1,,,,,,,,,,,,
2330794,Bakery,Lavender Items,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2330793,Bakery,River Rat Cheese,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
184830,Bakery,Single Donut,,,,,Y,N,0.17,2,N,8%,Y,,,0.17,1,Keck's,,,,,,,,,,,
2326851,Bakery,Summer Shake Up*,,,,,Y,N,,10,N,8%,Y,,,,1,,,,,,,,,,,,
2326852,Bakery,Summer Slushee*,,,,,Y,N,,4,N,8%,Y,,,,1,,,,,,,,,,,,
2284891,Corn-a-copia,Kettlecorn & Lemonade Combo,,,,,Y,N,2.45,11,N,8%,Y,,,2.45,1,,,,,,,,,,,,
2290460,Corn-a-copia,"Kettlecorn, 1 bag",,,,,Y,N,0.74,7,N,8%,Y,,,0.74,1,,,,,,,,,,,,
2284890,Corn-a-copia,"Kettlecorn, 2 bags",,,,,Y,N,4.3,12,N,8%,Y,,,4.3,1,,,,,,,,,,,,
2298558,Corn-a-copia,Lemonade*,,,,,Y,N,,5,N,8%,Y,,,,1,,,,,,,,,,,,
2272255,Corn-a-copia,Water!,,,,,Y,N,,2.95,N,8%,Y,,,,1,,,,,,,,,,,,
717626,CSA,Biweekly Share,,,,,Y,N,,500,N,No tax,Y,,Biweekly Share,,1,,,,,,,,,,,,
619174,CSA,CSA,print receipt wname for binder,,,,Y,Y,,0,N,No tax,Y,,Balance- CSA,,1,,,,,,,,,,,,
1073303,CSA,Deposit- $100 CSA,print receipt wname for binder,,,,Y,N,,100,N,No tax,N,,Deposit- $100 CSA,,1,,,,,,,,,,,,
717439,CSA,Full Share,,,,,Y,N,,735,N,No tax,Y,,Full Share,,1,,,,,,,,,,,,
717627,CSA,Grab & Go,,,,,Y,N,,500,N,No tax,Y,,Grab & Go,,1,,,,,,,,,,,,
2326890,Exit Barn,"Apples, Retail",,,,,Y,Y,,0,N,8%,N,,,,1,,,,,,,,,,,,
2331248,Exit Barn,Beeswax items,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2329572,Exit Barn,Cold Brew,,,,,Y,N,,4.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326870,Exit Barn,Donut Upgrade,,,,,Y,N,,4,N,No tax,Y,,,,1,,,,,,,,,,,,
2326867,Exit Barn,Donuts Dozen,,,,,Y,N,,11,N,No tax,Y,,,,1,,,,,,,,,,,,
2326868,Exit Barn,Donuts Half Dozen,,,,,Y,N,,7,N,No tax,Y,,,,1,,,,,,,,,,,,
2330800,Exit Barn,French Lavender Bundle,,,,,Y,N,,15,N,8%,Y,,,,1,,,,,,,,,,,,
2326866,Exit Barn,Fudge 1,,,,,Y,N,,8,N,No tax,Y,,,,1,,,,,,,,,,,,
2326865,Exit Barn,"Fudge, Buy 2, Get 1",,,,,Y,N,,16,N,No tax,Y,,,,1,,,,,,,,,,,,
2326879,Exit Barn,Honey,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2330802,Exit Barn,Honey sticks,,,,,Y,N,,0.49,N,8%,Y,,,,1,,,,,,,,,,,,
2326877,Exit Barn,Jellies & Jams,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2326884,Exit Barn,Jewelry,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2332425,Exit Barn,Juice Box,,,,,Y,N,,1.49,N,8%,Y,,,,1,,,,,,,,,,,,
2326876,Exit Barn,"Kettle Corn, 1 bag",,,,,Y,N,,7,N,No tax,Y,,,,1,,,,,,,,,,,,
2326875,Exit Barn,"Kettle Corn, 2 bags",,,,,Y,N,,12,N,No tax,Y,,,,1,,,,,,,,,,,,
2326872,Exit Barn,Keyed Decor,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2329589,Exit Barn,Keyed Refund for Gift Card,Balance ,,,,N,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2326873,Exit Barn,Keyed Take Home Food,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2326874,Exit Barn,Krispy Treats,,,,,Y,N,,6.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326871,Exit Barn,Lavender Mason Jar Exit,,,,,Y,N,,25,N,8%,Y,,,,1,,,,,,,,,,,,
2326885,Exit Barn,Lavender products,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2329576,Exit Barn,Lavender T-shirts,,,,,Y,N,,19.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326880,Exit Barn,Maple,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2326882,Exit Barn,Melissa & Doug kids toys,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2326886,Exit Barn,Milkhouse Candles,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2329880,Exit Barn,Mustards,,,,,Y,N,,5.99,N,8%,Y,,,,1,,,,,,,,,,,,
2329886,Exit Barn,Naked Bee items,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2331249,Exit Barn,Parasol,,,,,Y,N,,49.99,N,8%,Y,,,,1,,,,,,,,,,,,
2329906,Exit Barn,Pottery,,,,,Y,Y,,0,N,8%,Y,,,,1,,,,,,,,,,,,
2326881,Exit Barn,River Rat Cheese & Meats,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2326883,Exit Barn,SallyAnder Soap,,,,,Y,N,,8.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326878,Exit Barn,Salsa,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2329816,Exit Barn,"Season Pass Upgrade, Weekday",,,,,Y,N,,33,N,No tax,Y,,,,1,,,,,,,,,,,,
2329817,Exit Barn,"Season Pass Upgrade, Weekend",,,,,Y,N,,28,N,No tax,Y,,,,1,,,,,,,,,,,,
2326887,Exit Barn,Soberdough,,,,,Y,Y,,10.99,N,8%,Y,,,,1,,,,,,,,,,,,
2326888,Exit Barn,"Soberdough, Apple Fritter",,,,,Y,N,,11.99,N,8%,Y,,,,1,,,,,,,,,,,,
